run,job_index,job_id,dataset_id,method,track,seed,preprocessing_profile,output_type,scib_commit,metric__ARI_cluster/label,status__ARI_cluster/label,metric__ASW_label,status__ASW_label,metric__ASW_label/batch,status__ASW_label/batch,metric__NMI_cluster/label,status__NMI_cluster/label,metric__PCR_batch,status__PCR_batch,metric__cLISI,status__cLISI,metric__cell_cycle_conservation,status__cell_cycle_conservation,metric__graph_conn,status__graph_conn,metric__hvg_overlap,status__hvg_overlap,metric__iLISI,status__iLISI,metric__isolated_label_F1,status__isolated_label_F1,metric__isolated_label_silhouette,status__isolated_label_silhouette,metric__kBET,status__kBET,metric__trajectory,status__trajectory,split_seed,model_seed,anchor_seed,split_id,heldout_batch
primary_128d,30,core__pancreas__hvg2000_pca40__solar_none__random_seed_40__s40__a0__l1p00,pancreas,solar_none,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.33204322505049133,computed,0.9042342603206635,computed,0.8842448106693611,computed,0.72861153507661,computed,0.9290224601258252,computed,1.0,computed,0.3350571595839544,computed,0.9929332451170735,computed,,not_applicable,0.8012473521158654,computed,0.2641509433962264,computed,0.49594214651733637,computed,0.0005746795421365247,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,
primary_128d,31,core__pancreas__hvg2000_pca40__solar_none__random_seed_41__s41__a0__l1p00,pancreas,solar_none,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3004403663715981,computed,0.8923822343349457,computed,0.872051190010324,computed,0.7053837832290627,computed,0.9260709022240187,computed,1.0,computed,0.33039055069637935,computed,0.9263045046465477,computed,,not_applicable,0.6268024344917358,computed,0.2692307692307693,computed,0.49594215024262667,computed,0.004660270633887853,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,
primary_128d,32,core__pancreas__hvg2000_pca40__solar_none__random_seed_42__s42__a0__l1p00,pancreas,solar_none,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.29426369513827755,computed,0.8733728528022766,computed,0.8692746926785774,computed,0.7024985299401523,computed,0.922690227512213,computed,1.0,computed,0.33054594173939056,computed,0.7817897453520255,computed,,not_applicable,0.5085320046066371,computed,0.2641509433962264,computed,0.4959421483799815,computed,0.01054843931120597,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,
primary_128d,33,core__pancreas__hvg2000_pca40__solar_none__random_seed_43__s43__a0__l1p00,pancreas,solar_none,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.32871765695065785,computed,0.8973830342292786,computed,0.8771965588881976,computed,0.7255243383902626,computed,0.9295521774446457,computed,1.0,computed,0.3195327413566027,computed,0.9829469774726319,computed,,not_applicable,0.7748856490203408,computed,0.2692307692307693,computed,0.4959421493113041,computed,0.004042114952482634,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,
primary_128d,34,core__pancreas__hvg2000_pca40__solar_none__random_seed_44__s44__a0__l1p00,pancreas,solar_none,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.313153686587441,computed,0.8898023068904877,computed,0.8768305425802465,computed,0.7164015134152275,computed,0.926055463611951,computed,1.0,computed,0.33925695906711445,computed,0.9232917395218196,computed,,not_applicable,0.6518439045296658,computed,0.2692307692307693,computed,0.4959421483799815,computed,0.005074344094644689,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,
primary_128d,35,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_40__s40__a0__l1p00,pancreas,solar_orthogonal,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.35771274120297686,computed,0.9238013029098511,computed,0.8711448527955313,computed,0.7383376523949121,computed,0.9263069407326054,computed,1.0,computed,0.31449323793819167,computed,0.9172719418587837,computed,,not_applicable,1.4697598951442026,computed,0.2641509433962264,computed,0.49594214651733637,computed,0.001648782398994575,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,
primary_128d,36,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_41__s41__a0__l1p00,pancreas,solar_orthogonal,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3570766559511398,computed,0.9199102520942688,computed,0.8697380696952507,computed,0.73544629596338,computed,0.9262789110679795,computed,1.0,computed,0.3048878269823059,computed,0.9251168383094084,computed,,not_applicable,1.3324653859491207,computed,0.2692307692307693,computed,0.49594215024262667,computed,0.0012160956881456242,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,
primary_128d,37,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_42__s42__a0__l1p00,pancreas,solar_orthogonal,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3506801379893577,computed,0.915245771408081,computed,0.8569318552906907,computed,0.7383037034978798,computed,0.9231775350233722,computed,1.0,computed,0.30906704520982586,computed,0.785908804648538,computed,,not_applicable,1.2379605592495313,computed,0.2641509433962264,computed,0.4959421483799815,computed,0.015046044697400562,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,
primary_128d,38,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_43__s43__a0__l1p00,pancreas,solar_orthogonal,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3461554999947644,computed,0.9211086928844452,computed,0.8526185761594782,computed,0.7386520964972355,computed,0.9253253685331084,computed,1.0,computed,0.3052963608307419,computed,0.8444530936848624,computed,,not_applicable,1.4101669947467461,computed,0.2692307692307693,computed,0.4959421493113041,computed,0.003783374676283646,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,
primary_128d,39,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_44__s44__a0__l1p00,pancreas,solar_orthogonal,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.35285755502190064,computed,0.9226531684398651,computed,0.8608321685519872,computed,0.7368436715591586,computed,0.9250876181980049,computed,1.0,computed,0.31294657343980703,computed,0.9774124232114191,computed,,not_applicable,1.471235819847133,computed,0.2692307692307693,computed,0.4959421483799815,computed,0.001150778215208148,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,
