dataset_id,heldout_batch,method,model_seed,class,precision,recall,f1,support,coverage,readout
immune_cell_human,Oetjen_A,sclsc_refonly,44,Monocyte-derived dendritic cells,0.9032258064516129,0.9438202247191011,0.9230769230769231,89,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,NK cells,0.3582089552238806,0.9230769230769231,0.5161290322580645,26,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,NKT cells,0.9607142857142857,0.6915167095115681,0.804185351270553,389,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,Plasma cells,1.0,1.0,1.0,33,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,44,Plasmacytoid dendritic cells,0.9310344827586207,1.0,0.9642857142857143,54,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,40,CD14+ Monocytes,0.42028985507246375,1.0,0.5918367346938775,145,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,40,CD16+ Monocytes,0.08695652173913043,0.08139534883720931,0.08408408408408409,172,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,40,Monocyte-derived dendritic cells,1.0,0.6460674157303371,0.7849829351535836,534,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,40,Plasmacytoid dendritic cells,1.0,1.0,1.0,171,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,41,CD14+ Monocytes,0.42857142857142855,0.993103448275862,0.5987525987525988,145,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,41,CD16+ Monocytes,0.12903225806451613,0.13953488372093023,0.1340782122905028,172,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,41,HSPCs,0.0,0.0,0.0,0,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,41,Monocyte progenitors,0.0,0.0,0.0,0,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,41,Monocyte-derived dendritic cells,1.0,0.6048689138576779,0.7537922987164527,534,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,41,Plasmacytoid dendritic cells,0.9771428571428571,1.0,0.9884393063583815,171,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,42,CD14+ Monocytes,0.49825783972125437,0.9862068965517241,0.6620370370370371,145,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,42,CD16+ Monocytes,0.19230769230769232,0.23255813953488372,0.21052631578947367,172,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,42,Monocyte-derived dendritic cells,0.9943820224719101,0.6629213483146067,0.7955056179775281,534,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,42,Plasmacytoid dendritic cells,1.0,1.0,1.0,171,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,43,CD14+ Monocytes,0.5789473684210527,0.9862068965517241,0.7295918367346939,145,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,43,CD16+ Monocytes,0.24778761061946902,0.32558139534883723,0.2814070351758794,172,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,43,Monocyte-derived dendritic cells,0.9603174603174603,0.6797752808988764,0.7960526315789473,534,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,43,Plasmacytoid dendritic cells,1.0,1.0,1.0,171,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,44,CD14+ Monocytes,0.5742971887550201,0.9862068965517241,0.7258883248730964,145,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,44,CD16+ Monocytes,0.3215686274509804,0.47674418604651164,0.3840749414519906,172,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,44,Monocyte-derived dendritic cells,1.0,0.649812734082397,0.7877412031782066,534,,common_distance_weighted_15nn
immune_cell_human,Villani,sclsc_refonly,44,Plasmacytoid dendritic cells,1.0,1.0,1.0,171,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,B cell,1.0,1.0,1.0,3,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Ciliated,1.0,0.8333333333333334,0.9090909090909091,12,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Dendritic cell,0.92,0.9387755102040817,0.9292929292929293,98,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Endothelium,0.0,0.0,0.0,0,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Fibroblast,1.0,1.0,1.0,25,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Macrophage,0.4,1.0,0.5714285714285714,8,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Mast cell,1.0,0.9897959183673469,0.9948717948717949,98,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Neutrophil_CD14_high,0.7777777777777778,0.5384615384615384,0.6363636363636364,13,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Neutrophils_IL1R2,0.5,0.09090909090909091,0.15384615384615385,11,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,Secretory,0.0,0.0,0.0,0,,common_distance_weighted_15nn
lung_atlas,3,sclsc_refonly,40,T/NK cell,1.0,0.9830508474576272,0.9914529914529915,59,,common_distance_weighted_15nn
