dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query,readout,coverage,assigned_only_macro_f1,assigned_only_accuracy,n_fitting,embedding_dimension,classes_json,confusion_matrix_json,artifact_path,artifact_sha256,total_wall_seconds,peak_rss_mb,reference_build_seconds,query_mapping_seconds,artifact_source_scope
pancreas,heldout,inDrop2,heldout_inDrop2,,43.0,,frozen_reference_scvi,43.0,0.9059136629129556,0.9682212882985344,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,44.0,,frozen_reference_scvi,44.0,0.8222205671391576,0.879103236438767,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,40.0,,frozen_reference_scvi,40.0,0.9356795962034996,0.9292469746691256,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,41.0,,frozen_reference_scvi,41.0,0.9578636881961996,0.9510341330314044,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,42.0,,frozen_reference_scvi,42.0,0.9134849624528172,0.927733877811258,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,43.0,,frozen_reference_scvi,43.0,0.9376347720964464,0.9510518894156884,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,44.0,,frozen_reference_scvi,44.0,0.7902774668620539,0.7821849386658991,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,,10X,,,40.0,,sclsc_refonly,,0.8810903662569212,0.8679424338556835,22779,10727,common_distance_weighted_15nn,1.0,,,22779.0,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3347, 39, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [19, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1526, 3, 3, 0, 1, 0, 6, 7, 0, 0], [0, 0, 0, 2863, 42, 0, 6, 0, 0, 26, 0, 0], [0, 0, 0, 21, 329, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 21, 5, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0], [62, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 597, 157, 0, 0], [0, 0, 0, 67, 14, 0, 0, 0, 21, 954, 0, 0], [0, 0, 7, 1, 0, 0, 0, 0, 0, 1, 9, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 79]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_40/embedding.npz,f3ddb116863a80979ddbd36a848a619daca6a59ccc0318b7677b458f966e002f,,,,,
immune_cell_human,,10X,,,41.0,,sclsc_refonly,,0.8174205180301575,0.8676843314070793,22779,10727,common_distance_weighted_15nn,1.0,,,22779.0,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3369, 16, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [33, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1536, 3, 0, 0, 0, 0, 0, 1, 6, 0, 0], [0, 0, 0, 2877, 49, 0, 4, 0, 0, 0, 7, 0, 0], [0, 0, 0, 25, 325, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 20, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [51, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 584, 170, 0, 0], [0, 0, 0, 114, 28, 0, 0, 0, 0, 22, 892, 0, 0], [0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 0, 10, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_41/embedding.npz,761fc01101d14ef4078f12ca43211326bc1f69086255cdf59b046377ad4b7f37,,,,,
immune_cell_human,,10X,,,42.0,,sclsc_refonly,,0.8966910350199773,0.8838385091193817,22779,10727,common_distance_weighted_15nn,1.0,,,22779.0,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3352, 31, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0], [18, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1526, 5, 0, 0, 0, 0, 2, 13, 0, 0], [0, 0, 0, 2857, 40, 0, 3, 0, 0, 37, 0, 0], [0, 0, 0, 17, 332, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 23, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0], [37, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 600, 153, 0, 0], [0, 0, 0, 55, 23, 0, 0, 0, 26, 952, 0, 0], [0, 0, 5, 2, 0, 0, 0, 0, 0, 3, 8, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_42/embedding.npz,ef88eb20bc93ef7c4ccd08a58a49c886de8a3805be109645a2990f2fb600a7d0,,,,,
